compound,negative,neutral,positive
0.0,0.0,1.0,0.0
-0.8091,0.374,0.461,0.165
0.0516,0.185,0.616,0.199
0.9666,0.025,0.627,0.348
0.4404,0.0,0.791,0.209
-0.2732,0.135,0.772,0.093
0.0258,0.149,0.73,0.121
-0.4019,0.31,0.69,0.0
0.8697,0.0,0.787,0.213
-0.6369,0.553,0.263,0.184
0.0,0.0,1.0,0.0
-0.3818,0.187,0.714,0.099
0.6316,0.166,0.544,0.29
-0.1779,0.051,0.913,0.037
0.6209,0.0,0.424,0.576
0.9176,0.0,0.601,0.399
-0.5584,0.304,0.489,0.206
0.0,0.0,1.0,0.0
-0.0772,0.08,0.92,0.0
0.0,0.0,1.0,0.0
0.25,0.13,0.679,0.191
-0.296,0.196,0.804,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1759,0.051,0.913,0.037
0.0258,0.131,0.735,0.135
0.4215,0.0,0.787,0.213
-0.6736,0.23,0.685,0.084
-0.4215,0.072,0.928,0.0
-0.3094,0.17,0.83,0.0
0.4215,0.115,0.714,0.171
0.4215,0.0,0.641,0.359
-0.8074,0.401,0.484,0.114
-0.3412,0.196,0.703,0.102
