compound,negative,neutral,positive
0.4588,0.0,0.857,0.143
0.0,0.0,1.0,0.0
0.0243,0.142,0.651,0.207
0.9136,0.0,0.671,0.329
0.0,0.0,1.0,0.0
-0.1486,0.077,0.923,0.0
0.0516,0.086,0.82,0.094
0.0,0.0,1.0,0.0
0.1779,0.129,0.702,0.17
0.4939,0.0,0.814,0.186
0.4939,0.0,0.862,0.138
0.5267,0.0,0.732,0.268
0.3612,0.0,0.783,0.217
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3818,0.0,0.894,0.106
0.5859,0.0,0.833,0.167
0.5228,0.0,0.834,0.166
-0.0772,0.116,0.748,0.136
0.0,0.0,1.0,0.0
0.6705,0.0,0.718,0.282
0.4215,0.0,0.763,0.237
0.3612,0.109,0.711,0.18
0.0,0.0,1.0,0.0
0.6059,0.085,0.718,0.197
0.4973,0.0,0.829,0.171
0.0,0.0,1.0,0.0
-0.3818,0.245,0.755,0.0
-0.126,0.136,0.751,0.113
0.0,0.0,1.0,0.0
-0.6418,0.515,0.485,0.0
0.6249,0.0,0.495,0.505
0.0,0.0,1.0,0.0
0.7339,0.0,0.733,0.267
-0.1779,0.479,0.137,0.384
0.7615,0.123,0.575,0.302
0.34,0.0,0.876,0.124
-0.6016,0.179,0.821,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6808,0.067,0.762,0.171
0.636,0.0,0.323,0.677
0.0516,0.0,0.833,0.167
0.4215,0.0,0.931,0.069
0.5994,0.0,0.29,0.71
0.0258,0.068,0.861,0.072
0.4939,0.0,0.385,0.615
0.508,0.116,0.623,0.262
0.765,0.0,0.761,0.239
0.9179,0.099,0.402,0.499
0.2732,0.0,0.909,0.091
-0.8402,0.32,0.68,0.0
-0.1531,0.372,0.319,0.309
0.5719,0.0,0.829,0.171
0.0,0.0,1.0,0.0
0.572,0.202,0.388,0.411
0.5106,0.0,0.68,0.32
-0.6124,0.248,0.671,0.081
0.6369,0.0,0.574,0.426
0.4215,0.0,0.517,0.483
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4404,0.0,0.838,0.162
0.0,0.0,1.0,0.0
-0.4294,0.255,0.601,0.144
0.6369,0.0,0.543,0.457
0.69,0.129,0.41,0.462
0.7783,0.0,0.772,0.228
0.5994,0.0,0.435,0.565
0.0,0.0,1.0,0.0
-0.6249,0.313,0.687,0.0
0.8786,0.076,0.697,0.227
0.0,0.0,1.0,0.0
0.0742,0.113,0.742,0.146
0.7543,0.115,0.66,0.224
-0.6229,0.45,0.55,0.0
-0.0772,0.182,0.579,0.24
0.0,0.0,1.0,0.0
-0.4641,0.13,0.827,0.042
0.8442,0.115,0.564,0.321
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6249,0.0,0.823,0.177
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7827,0.059,0.679,0.262
0.0,0.0,1.0,0.0
0.7783,0.137,0.368,0.495
-0.4201,0.583,0.417,0.0
0.3612,0.0,0.762,0.238
0.8817,0.038,0.732,0.23
0.6369,0.0,0.543,0.457
0.8213,0.0,0.632,0.368
